"T","arc_length","Points:0","Points:1","Points:2"
310.63,0.12613,0.13613,0,0
310.63,0.12631,0.13631,0,0
310.63,0.12649,0.13649,0,0
310.63,0.12667,0.13667,0,0
310.62,0.12685,0.13685,0,0
310.62,0.12704,0.13704,0,0
310.62,0.12722,0.13722,0,0
310.62,0.1274,0.1374,0,0
310.62,0.12758,0.13758,0,0
310.61,0.12776,0.13776,0,0
310.61,0.12795,0.13795,0,0
310.61,0.12813,0.13813,0,0
310.61,0.12831,0.13831,0,0
310.61,0.12849,0.13849,0,0
310.6,0.12867,0.13867,0,0
310.6,0.12886,0.13886,0,0
310.6,0.12904,0.13904,0,0
310.6,0.12922,0.13922,0,0
310.6,0.1294,0.1394,0,0
310.59,0.12958,0.13958,0,0
310.59,0.12977,0.13977,0,0
310.59,0.12995,0.13995,0,0
310.59,0.13013,0.14013,0,0
310.59,0.13031,0.14031,0,0
310.59,0.13049,0.14049,0,0
310.58,0.13068,0.14068,0,0
310.58,0.13086,0.14086,0,0
310.58,0.13104,0.14104,0,0
310.58,0.13122,0.14122,0,0
310.58,0.1314,0.1414,0,0
310.58,0.13159,0.14159,0,0
310.57,0.13177,0.14177,0,0
310.57,0.13195,0.14195,0,0
310.57,0.13213,0.14213,0,0
310.57,0.13231,0.14231,0,0
310.57,0.1325,0.1425,0,0
310.57,0.13268,0.14268,0,0
310.56,0.13286,0.14286,0,0
310.56,0.13304,0.14304,0,0
310.56,0.13322,0.14322,0,0
310.56,0.13341,0.14341,0,0
310.56,0.13359,0.14359,0,0
310.56,0.13377,0.14377,0,0
310.55,0.13395,0.14395,0,0
310.55,0.13413,0.14413,0,0
310.55,0.13432,0.14432,0,0
310.55,0.1345,0.1445,0,0
310.55,0.13468,0.14468,0,0
310.55,0.13486,0.14486,0,0
310.55,0.13504,0.14504,0,0
310.54,0.13523,0.14523,0,0
310.54,0.13541,0.14541,0,0
310.54,0.13559,0.14559,0,0
310.54,0.13577,0.14577,0,0
310.54,0.13595,0.14595,0,0
310.54,0.13614,0.14614,0,0
310.54,0.13632,0.14632,0,0
310.53,0.1365,0.1465,0,0
310.53,0.13668,0.14668,0,0
310.53,0.13686,0.14686,0,0
310.53,0.13705,0.14705,0,0
310.53,0.13723,0.14723,0,0
310.53,0.13741,0.14741,0,0
310.53,0.13759,0.14759,0,0
310.52,0.13777,0.14777,0,0
310.52,0.13796,0.14796,0,0
310.52,0.13814,0.14814,0,0
310.52,0.13832,0.14832,0,0
310.52,0.1385,0.1485,0,0
